FACTORY,FTY STATUS,SALES DOLLARS,SALES UNITS,MMO,IMO,MARK DOWNS,DAMAGE RATE,Lead Time Days,On Time %,Reject %,Pairs Defect %,Pkg Defect %,"Customer Damage per 100,000",Total Damage Rate,Receipt Units,Receipt 1st Cost,Average 1st Cost,Year
HAIFONG#2,CORE,274944.1491,25696.711,0.530336825,0.627968602,0.251834807,0.010554963,54.42978367,0.999901195,0.00054788,0.039262336,4.99998E-05,0.007285757,0.010554963,24222.232,95137.0046,3.927672916,2000
SHENGCHANG,CORE,125960.1863,11007.588,0.550692206,0.628449182,0.200600734,0.00846133,61.75843239,0.999401652,0.000204902,0.044680775,0.000178438,0.006452276,0.00846133,10933.479,44520.13674,4.071909475,2000
FMINDO,CORE,119495.8497,10617.294,0.550976409,0.62412051,0.183919152,0.010617657,58.95470534,0.99838226,0.004056963,0.026672824,0.00133982,0.008018239,0.010617657,11544.776,45438.13112,3.935817475,2000
CONTINENTA,CORE,92167.50864,8030.923,0.505166441,0.617871978,0.281924753,0.012899104,61.68183653,1,0.001196382,0.037018247,0.001980198,0.009218866,0.012899104,7585.852,31940.33972,4.210514484,2000
JUWANG,CORE,84411.01082,7518.297,0.508018476,0.610625986,0.252836828,0.010504287,69.04506554,0.994551722,0.006871311,0.037908701,0.001290121,0.008227395,0.010504287,8278.991,34583.10945,4.177213075,2000
UNIQUENESS,CORE,79104.09761,7483.067,0.520800576,0.634131431,0.297486634,0.012127804,44.16568813,1,0,0.029008784,0,0.007839566,0.012127804,7755.439,29240.35123,3.770302523,2000
GUANGWEI,CORE,91862.78572,7152.895,0.529312826,0.604769153,0.182258944,0.008496519,61.08757045,0.999831515,0,0.032833745,7.72559E-05,0.006451094,0.008496519,7230.062,35058.67489,4.849014419,2000
LONGHAI,CORE,79172.70939,6681.296,0.51330324,0.612754792,0.24634094,0.010203424,55.75699883,1,0,0.033904811,4.79785E-05,0.006749439,0.010203424,7179.846,30932.16516,4.308193401,2000
WINPROFIL2,CORE,93389.78315,6201.239,0.543191012,0.626132376,0.209497825,0.012342971,55.60422225,1,0.001979944,0.040632168,0.000118068,0.009915115,0.012342971,6769.706,35246.48573,5.20650169,2000
LEADER#2,CORE,116046.7055,6163.475,0.548954791,0.616876032,0.164641061,0.012640963,47.29406078,1,0.003734779,0.045913603,0.005777208,0.010291272,0.012640963,6293.374,43732.18221,6.948924728,2000
CHAOQUAN,CORE,67230.25652,5802.813,0.54199142,0.636560104,0.250047512,0.010113101,49.77563759,1,0,0.04051851,0.000218697,0.007477236,0.010113101,5985.042,24616.45067,4.112995476,2000
PUTIENSH#2,CORE,67248.27808,5711.379,0.529967001,0.621771927,0.233635441,0.009090498,42.6212497,1,0,0.035790079,0.000791338,0.006835477,0.009090498,6358.777,27577.56918,4.336929756,2000
NEWWINNEX,CORE,84182.62412,5235.715,0.561010668,0.62978435,0.173239904,0.012609413,53.7377636,1,0,0.042112493,9.15821E-05,0.009165701,0.012609413,5009.215,27572.65065,5.504385547,2000
DBLESTAR-M,CORE,40718.78267,4973.968,0.508162963,0.620336233,0.286169843,0.009158773,57.47065727,1,0,0.03701344,5.97312E-05,0.005122671,0.009158773,5370.065,12437.90636,2.316155644,2000
BRINGIANT,CORE,38680.2648,3086.759,0.485299909,0.584876146,0.23388161,0.006043473,71.63204297,0.997297315,0.003356433,0.040733665,0.000101898,0.003997721,0.006043473,3327.536,15750.31918,4.733327958,2000
NANKANG,SA,82926.23156,6308.974,0.518782165,0.608805912,0.220103668,0.009640664,77.3719813,0.999475607,0.000672379,0.047773061,0.001167936,0.006796668,0.009640664,5492.737,24861.86854,4.526316942,2000
TONGCHUANG,SA,46414.48618,3697.739,0.496189267,0.605946165,0.266612656,0.012216135,74.92153168,0.973318036,0.000923644,0.02673589,0.00098891,0.008697477,0.012216135,3527.538,17716.95488,5.022470312,2000
ENCA,SA,34994.39275,2236.641,0.514643252,0.592285524,0.18034806,0.010060966,76.49505241,0.96974828,0.004722778,0.046846489,0.004204681,0.007813055,0.010060966,2636.833,15365.11748,5.827110583,2000
GLORYCH,SA,32568.56718,2180.85,0.502167294,0.57765799,0.170235776,0.008499978,104.6592125,0.988636843,0.028445904,0.043988421,0.000103381,0.007257262,0.008499978,2309.556,13331.47434,5.772310496,2000
SHENFA,SA,32617.47935,2125.346,0.518244686,0.608017017,0.216705685,0.012210802,72.88024516,0.998499239,0.005655982,0.047376829,0.000126114,0.008704936,0.012210802,2298.217,12710.51482,5.530598207,2000
IFCO,SA,21832.89649,1909.273,0.510888854,0.62026315,0.278413163,0.009297523,115.7388286,0.766000963,0.012042611,0.029072057,0.014273527,0.004337777,0.009297523,1926.402,9752.86218,5.062734663,2000
SYNCO,SA,23246.09084,1761.822,0.509197498,0.608807451,0.242910044,0.011353743,73.14070629,0.996069661,0,0.043448744,0.000169722,0.009051425,0.011353743,1475.569,7260.88535,4.920735899,2000
AZALEIA,SA,19741.00479,1703.778,0.522463475,0.592961795,0.166117807,0.007139543,62.07002304,1,0,0.001174439,0.001243523,0.005740184,0.007139543,1737.639,7468.92855,4.298320048,2000
RONGGUANG,SA,337.9521,1297.076,-4.479578496,0.722461997,18.73547506,0.007764799,59.32453568,1,0.025998802,0.04922766,0.001154901,0.000118729,0.007764799,1388.742,1452.8421,1.046156954,2000
BUFENG,SA,7141.253,942.844,0.512427944,0.640779209,0.344906077,0.012381267,67.37236414,0.788837755,0.066843185,0.072903371,0.072903371,0.008014051,0.012381267,1027.65,2882.51112,2.804954138,2000
HUEYFENGCH,SA,9360.9444,935.869,0.472964568,0.62353232,0.377994864,0.021088788,79.37410619,1,0,0.054855196,0,0.008752293,0.021088788,542.022,1983.13701,3.658775861,2000
LOBELSON,SA,12733.03077,921.225,0.538434024,0.558916004,0.035834672,0.010873344,121.328028,0.981696949,0.006309175,0.021644745,0.003128591,0.00739016,0.010873344,903.966,5433.3939,6.010617545,2000
BLIP-FL1,SA,8722.37111,918.007,0.459440052,0.584343622,0.290111116,0.010315916,65.0366871,1,0.014599642,0.001158461,0.000910219,0.006950927,0.010315916,924.158,3471.7446,3.756656979,2000
DBLESTAR-G,SA,15052.41589,747.657,0.513459294,0.594862114,0.188063269,0.012949104,59.7838141,1,0,0.045420364,0,0.009632759,0.012949104,552.225,4212.08007,7.627470814,2000
HUIMAO,SA,5998.45699,728.72,0.427941078,0.600013719,0.41928913,0.0108044,73.67535886,1,0,0.047423407,0.000234769,0.006446921,0.0108044,762.21,2625.38094,3.444432558,2000
GOLDFLEX,SA,6193.24332,679.915,0.354149751,0.560290896,0.461247424,0.007364156,66.88689187,0.975898779,0,0.000622278,0.000355587,0.004965327,0.007364156,830.157,3953.1474,4.761927443,2000
RUNNINGSTA,SA,6618.59088,644.3,0.444528919,0.61537706,0.423945243,0.020170083,0,0,0,0.068181818,0,0.011098867,0.020170083,445.752,1965.13311,4.408579457,2000
STOCK BUY,SA,4909.37534,585.847,0.494893407,0.587702249,0.216916434,0.00762839,29.35807873,0.43749358,0.025767985,0.007097232,0.039478353,0.003640882,0.00762839,604.573,2500.53294,4.136031447,2000
PRIMANUSA,SA,6944.09184,584.238,0.380455491,0.567190896,0.416343828,0.01485292,96.25,1,0,0.045833333,0.001041667,0.007188851,0.01485292,370.584,2557.0296,6.9,2000
WANHUI,SA,4430.68073,553.99,0.469899112,0.619748702,0.378607594,0.01537907,87.74718047,0.995911376,0.050987121,0.068118258,0,0.008727594,0.01537907,601.992,1421.34012,2.361061476,2000
YUNGFONG,SA,6425.1799,541.698,0.456182702,0.578868202,0.275583742,0.015530099,70.64443172,1,0.054757372,0.051147705,0,0.009841277,0.015530099,482.763,2395.73934,4.962557901,2000
WINGFOOT#1,SA,5944.34171,538.072,0.449381183,0.577566042,0.283616867,0.0205579,70.89917994,0.9632087,0.036155998,0.072623829,0,0.006294697,0.0205579,501.967,2203.25205,4.389236842,2000
FRANKLIN,SA,13011.13173,477.489,0.510601013,0.600488053,0.150768572,0.078140596,79.33427663,1,0.079440322,0.03798034,0.017426273,0.020957551,0.078140596,340.589,3559.70103,10.45160305,2000
TIANCHENG,SA,3758.3917,463.753,0.455264011,0.597398384,0.348753104,0.004250257,83.81850313,1,0,0.05443403,0,0.001925594,0.004250257,459.57,1364.29704,2.968638162,2000
REGER,SA,3401.55875,431.868,0.470356697,0.578220736,0.251121216,0.004652811,64.09902499,0.751190008,0.041783482,0.061737615,0.005352253,0.003359823,0.004652811,533.91,1508.93142,2.826190594,2000
SUPERSHARP,SA,5280.21005,429.478,0.447053316,0.549566531,0.219246045,0.008270412,59.5,1,0,0.054166667,0,0.00567433,0.008270412,230.166,1461.5541,6.35,2000
HAILI,SA,2779.13441,343.426,0.464891628,0.564325823,0.219568484,0.008646588,68.46481891,1,0.147205038,0.053536021,0.02247191,0.001435535,0.008646588,294.843,1179.372,4,2000
FRIENDLY,SA,2899.88119,306.078,0.492502584,0.598649914,0.260327227,0.004106385,57.90437932,1,0,0.04748062,0,0.002139977,0.004106385,231.03,1143.5985,4.95,2000
GUOHUAN,SA,2537.16361,299.518,0.481633043,0.570085443,0.190700831,0.015130305,80.71437162,0.584886751,0.162495127,0.114125351,0,0.007528763,0.015130305,265.32,662.69952,2.497736771,2000
QUANTAK#2,SA,7756.69276,296.965,0.469033714,0.548032354,0.148167218,0.026583997,87.66902913,1,0,0.046632124,0,0.021069823,0.026583997,185.22,1900.12698,10.25875705,2000
